datetime,stage_3A-5,stage_3A10,stage_3A11
2000-03-29 16:00:00,8.73,9.44,9.22
2000-03-29 17:00:00,8.73,9.44,9.21
2000-03-29 18:00:00,8.73,9.44,9.21
2000-03-29 19:00:00,8.73,9.44,9.21
2000-03-29 20:00:00,8.73,9.44,9.21
2000-03-29 21:00:00,8.73,9.44,9.21
2000-03-29 22:00:00,8.73,9.44,9.21
2000-03-29 23:00:00,8.73,9.44,9.21
2000-03-30 00:00:00,8.73,9.44,9.21
2000-03-30 01:00:00,8.73,9.44,9.21
2000-03-30 02:00:00,8.73,9.44,9.21
2000-03-30 03:00:00,8.73,9.44,9.21
2000-03-30 04:00:00,8.73,9.44,9.21
2000-03-30 05:00:00,8.73,9.44,9.21
2000-03-30 06:00:00,8.73,9.44,9.21
2000-03-30 07:00:00,8.73,9.44,9.21
2000-03-30 08:00:00,8.73,9.43,9.21
2000-03-30 09:00:00,8.73,9.43,9.21
2000-03-30 10:00:00,8.73,9.43,9.21
2000-03-30 11:00:00,8.73,9.43,9.21
2000-03-30 12:00:00,8.73,9.43,9.20
2000-03-30 13:00:00,8.73,9.43,9.20
2000-03-30 14:00:00,8.72,9.43,9.20
2000-03-30 15:00:00,8.72,9.43,9.20
2000-03-30 16:00:00,8.72,9.42,9.19
2000-03-30 17:00:00,8.72,9.42,9.19
2000-03-30 18:00:00,8.72,9.42,9.19
2000-03-30 19:00:00,8.72,9.42,9.19
2000-03-30 20:00:00,8.72,9.42,9.19
2000-03-30 21:00:00,8.72,9.42,9.19
2000-03-30 22:00:00,8.72,9.42,9.19
2000-03-30 23:00:00,8.72,9.42,9.19
2000-03-31 00:00:00,8.72,9.42,9.19
2000-03-31 01:00:00,8.72,9.42,9.19
2000-03-31 02:00:00,8.72,9.42,9.19
2000-03-31 03:00:00,8.72,9.42,9.19
2000-03-31 04:00:00,8.72,9.42,9.19
2000-03-31 05:00:00,8.72,9.42,9.19
2000-03-31 06:00:00,8.72,9.42,9.19
2000-03-31 07:00:00,8.72,9.41,9.19
2000-03-31 08:00:00,8.72,9.41,9.19
2000-03-31 09:00:00,8.72,9.41,9.19
2000-03-31 10:00:00,8.72,9.41,9.19
2000-03-31 11:00:00,8.71,9.41,9.19
2000-03-31 12:00:00,8.71,9.41,9.18
2000-03-31 13:00:00,8.71,9.41,9.18
2000-03-31 14:00:00,8.71,9.41,9.18
2000-03-31 15:00:00,8.71,9.40,9.17
2000-03-31 16:00:00,8.71,9.40,9.17
2000-03-31 17:00:00,8.71,9.40,9.17
2000-03-31 18:00:00,8.71,9.40,9.17
2000-03-31 19:00:00,8.71,9.40,9.17
2000-03-31 20:00:00,8.71,9.40,9.17
2000-03-31 21:00:00,8.70,9.40,9.17
2000-03-31 22:00:00,8.70,9.40,9.17
2000-03-31 23:00:00,8.70,9.40,9.17
2000-04-01 00:00:00,8.70,9.40,9.17
2000-04-01 01:00:00,8.70,9.40,9.17
2000-04-01 02:00:00,8.70,9.40,9.17
2000-04-01 03:00:00,8.70,9.39,9.17
2000-04-01 04:00:00,8.70,9.39,9.17
2000-04-01 05:00:00,8.70,9.39,9.17
2000-04-01 06:00:00,8.70,9.39,9.17
2000-04-01 07:00:00,8.70,9.39,9.17
2000-04-01 08:00:00,8.70,9.39,9.17
2000-04-01 09:00:00,8.70,9.39,9.17
2000-04-01 10:00:00,8.70,9.39,9.17
2000-04-01 11:00:00,8.70,9.39,9.17
2000-04-01 12:00:00,8.70,9.39,9.16
2000-04-01 13:00:00,8.70,9.39,9.16
2000-04-01 14:00:00,8.70,9.38,9.15
2000-04-01 15:00:00,8.70,9.38,9.15
2000-04-01 16:00:00,8.70,9.38,9.15
2000-04-01 17:00:00,8.69,9.38,9.14
2000-04-01 18:00:00,8.69,9.38,9.14
2000-04-01 19:00:00,8.69,9.38,9.14
2000-04-01 20:00:00,8.69,9.38,9.14
2000-04-01 21:00:00,8.69,9.38,9.14
2000-04-01 22:00:00,8.69,9.38,9.15
2000-04-01 23:00:00,8.69,9.37,9.15
2000-04-02 00:00:00,8.69,9.37,9.15
2000-04-02 01:00:00,8.69,9.37,9.15
2000-04-02 02:00:00,8.69,9.37,9.15
2000-04-02 03:00:00,8.69,9.37,9.15
2000-04-02 04:00:00,8.69,9.37,9.15
2000-04-02 05:00:00,8.69,9.37,9.15
2000-04-02 06:00:00,8.69,9.37,9.15
2000-04-02 07:00:00,8.69,9.37,9.15
2000-04-02 08:00:00,8.69,9.37,9.15
2000-04-02 09:00:00,8.69,9.37,9.15
2000-04-02 10:00:00,8.69,9.37,9.15
2000-04-02 11:00:00,8.69,9.37,9.14
2000-04-02 12:00:00,8.69,9.36,9.14
2000-04-02 13:00:00,8.69,9.36,9.13
2000-04-02 14:00:00,8.68,9.36,9.13
2000-04-02 15:00:00,8.68,9.36,9.13
2000-04-02 16:00:00,8.68,9.35,9.12
2000-04-02 17:00:00,8.68,9.35,9.12
2000-04-02 18:00:00,8.68,9.35,9.12
2000-04-02 19:00:00,8.68,9.35,9.12
2000-04-02 20:00:00,8.68,9.35,9.12
2000-04-02 21:00:00,8.68,9.35,9.12
2000-04-02 22:00:00,8.68,9.35,9.12
2000-04-02 23:00:00,8.68,9.35,9.12
2000-04-03 00:00:00,8.68,9.35,9.13
2000-04-03 01:00:00,8.68,9.35,9.13
2000-04-03 02:00:00,8.68,9.35,9.13
2000-04-03 03:00:00,8.68,9.35,9.13
2000-04-03 04:00:00,8.68,9.34,9.13
2000-04-03 05:00:00,8.68,9.34,9.13
2000-04-03 06:00:00,8.68,9.34,9.13
2000-04-03 07:00:00,8.68,9.34,9.13
2000-04-03 08:00:00,8.68,9.34,9.13
2000-04-03 09:00:00,8.68,9.34,9.13
2000-04-03 10:00:00,8.68,9.34,9.13
2000-04-03 11:00:00,8.67,9.34,9.12
2000-04-03 12:00:00,8.67,9.34,9.12
2000-04-03 13:00:00,8.67,9.33,9.11
2000-04-03 14:00:00,8.67,9.33,9.10
2000-04-03 15:00:00,8.67,9.33,9.10
2000-04-03 16:00:00,8.67,9.33,9.10
2000-04-03 17:00:00,8.67,9.33,9.09
2000-04-03 18:00:00,8.67,9.32,9.09
2000-04-03 19:00:00,8.67,9.32,9.09
2000-04-03 20:00:00,8.66,9.32,9.10
2000-04-03 21:00:00,8.66,9.32,9.10
